"participant_id","srs_1","srs_2","srs_3","srs_4","srs_5","srs_6","srs_7","srs_8","srs_9","srs_10","srs_11","bfas_1","bfas_2","bfas_3","bfas_4","bfas_5","bfas_6","bfas_7","bfas_8","bfas_9","bfas_10","bfas_11","bfas_12","bfas_13","bfas_14","bfas_15","bfas_16","bfas_17","bfas_18","bfas_19","bfas_20","bfas_21","bfas_22","bfas_23","bfas_24","bfas_25","bfas_26","bfas_27","bfas_28","bfas_29","bfas_30","bfas_31","bfas_32","bfas_33","bfas_34","bfas_35","bfas_36","bfas_37","bfas_38","bfas_39","bfas_40","bfas_41","bfas_42","bfas_43","bfas_44","bfas_45","bfas_46","bfas_47","bfas_48","bfas_49","bfas_50","bfas_51","bfas_52","bfas_53","bfas_54","bfas_55","bfas_56","bfas_57","bfas_58","bfas_59","bfas_60","bfas_61","bfas_62","bfas_63","bfas_64","bfas_65","bfas_66","bfas_67","bfas_68","bfas_69","bfas_70","bfas_71","bfas_72","bfas_73","bfas_74","bfas_75","bfas_76","bfas_77","bfas_78","bfas_79","bfas_80","bfas_81","bfas_82","bfas_83","bfas_84","bfas_85","bfas_86","bfas_87","bfas_88","bfas_89","bfas_90","bfas_91","bfas_92","bfas_93","bfas_94","bfas_95","bfas_96","bfas_97","bfas_98","bfas_99","bfas_100"
1083,1,1,2,2,2,2,2,2,2,2,1,2,2,4,3,4,2,4,1,3,5,4,4,2,2,3,2,1,5,3,4,4,4,2,4,2,3,4,4,3,4,3,1,2,2,4,2,1,3,2,4,2,4,4,4,2,4,1,4,3,1,5,2,2,2,2,2,5,4,4,2,3,1,4,2,4,4,1,2,3,4,1,4,2,4,4,2,2,2,3,2,4,1,3,4,3,3,2,4,2,2,3,5,3,4,4,4,2,4,3,5
1025,1,2,1,1,2,2,1,2,2,2,2,3,2,4,2,4,2,4,2,4,5,4,5,2,4,3,3,2,4,4,4,3,5,4,4,4,2,4,4,3,4,2,1,2,2,4,3,3,2,3,4,3,5,4,4,4,4,4,2,3,3,4,2,2,1,2,3,4,4,4,1,3,2,4,1,3,4,1,2,4,4,2,4,2,5,3,3,1,2,4,2,4,2,4,4,2,2,2,4,4,4,2,4,4,5,4,4,3,4,4,5
1092,1,1,2,2,1,1,2,1,2,2,2,4,3,4,2,4,3,3,4,3,5,4,4,4,4,4,3,1,2,3,4,5,4,3,4,4,3,4,2,3,3,3,3,4,4,4,3,2,4,3,4,2,4,4,3,3,3,4,4,3,3,5,3,3,3,4,3,3,4,3,3,3,3,3,3,2,3,3,4,4,4,3,4,3,3,4,3,2,3,3,3,4,4,3,3,4,3,2,4,4,3,2,4,3,4,3,3,2,4,3,5
1044,2,2,1,1,2,1,1,2,2,2,1,2,3,3,1,3,2,5,2,2,5,4,5,4,4,3,4,2,4,1,4,4,4,3,4,2,1,4,4,3,4,3,1,1,4,3,4,1,4,2,5,2,5,4,2,2,5,5,2,5,1,4,2,2,3,3,4,4,3,2,3,2,1,3,4,4,4,1,2,1,4,1,4,2,4,4,3,1,2,4,2,5,1,4,2,2,1,1,5,1,2,4,5,2,4,3,2,1,2,4,5
1073,2,2,1,2,2,2,2,2,2,2,2,3,2,3,2,3,4,3,3,3,4,3,4,5,3,2,2,3,4,3,4,4,3,4,4,4,2,2,2,3,4,2,4,3,4,4,3,2,3,3,4,4,4,2,2,2,3,3,3,3,4,3,2,4,3,5,4,3,3,3,2,4,3,2,3,2,2,2,2,3,4,4,3,2,4,4,3,3,2,2,2,4,2,4,3,3,2,3,3,3,2,3,4,4,4,3,2,3,3,3,4
1106,1,2,1,2,2,2,1,2,2,2,2,2,2,5,2,5,2,5,1,5,5,4,4,3,5,1,4,3,5,4,2,4,4,2,4,3,2,4,5,3,5,2,2,4,5,5,5,1,4,3,5,4,4,4,1,1,3,4,2,3,5,4,2,3,4,2,5,4,4,4,3,2,2,4,3,4,4,3,2,3,3,1,4,4,3,4,4,1,2,5,1,4,2,2,4,2,2,4,4,4,1,1,4,4,5,5,2,4,5,3,5
1104,2,2,1,2,2,2,1,2,2,1,1,3,2,4,4,3,1,5,3,3,4,4,4,3,3,2,4,1,5,2,4,4,4,3,3,4,2,5,4,2,3,3,2,3,3,3,4,1,4,3,3,4,5,3,4,3,2,5,4,3,3,4,1,2,3,2,4,4,4,3,3,2,2,3,2,4,2,1,4,3,3,2,4,2,4,3,4,1,2,4,3,3,2,3,4,2,2,2,4,2,4,3,4,3,3,4,2,2,4,5,4
1012,1,2,1,2,2,1,1,2,2,2,1,1,1,5,4,5,2,4,2,4,5,5,5,4,1,1,4,2,4,5,5,3,5,3,2,5,1,5,4,1,5,2,1,2,5,4,4,1,3,5,5,1,5,4,5,1,5,4,2,4,4,5,1,2,1,2,5,5,5,5,1,1,1,4,1,2,5,3,2,4,5,4,5,2,4,4,5,1,2,5,1,5,1,5,5,1,1,3,3,3,1,5,5,4,5,3,1,4,4,3,5
1046,2,1,2,2,2,2,1,2,2,2,2,3,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3
1068,2,2,1,1,2,2,1,1,1,1,2,2,4,3,4,3,2,4,3,3,4,5,3,5,3,4,3,2,4,3,2,3,3,5,4,2,3,4,4,1,4,2,4,4,3,3,4,2,3,3,2,4,3,3,4,2,3,3,1,3,4,5,3,4,2,4,4,3,4,3,1,3,3,2,2,2,3,1,2,2,4,3,3,2,3,2,3,2,5,4,5,5,4,4,4,5,5,3,4,3,5,3,4,5,4,3,3,2,3,3,3
1145,2,1,1,2,1,2,1,2,2,1,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
1181,1,1,1,2,1,2,2,1,2,1,2,4,1,4,4,4,3,4,2,5,5,5,5,5,1,2,1,1,4,5,5,4,5,3,3,4,2,5,4,2,5,5,1,4,2,4,4,2,3,3,5,3,4,4,4,1,2,4,1,2,3,5,1,1,2,1,3,4,5,5,3,3,2,2,2,1,3,2,2,3,4,5,3,2,5,5,3,3,2,1,1,2,2,4,4,2,3,3,4,4,1,2,5,4,5,4,3,2,4,2,3
1041,2,1,2,2,2,2,2,1,2,1,2,3,4,3,2,4,2,3,2,4,5,5,4,2,5,2,2,3,4,4,4,4,5,3,4,4,2,4,4,2,4,1,4,3,5,3,5,1,5,4,5,2,5,4,2,5,3,5,3,3,2,5,1,3,2,4,5,5,4,4,2,2,2,3,2,3,2,2,3,3,5,4,4,2,4,4,3,1,2,2,3,4,2,3,4,4,3,5,4,3,2,4,5,4,3,4,2,5,4,2,4
1037,1,2,1,2,2,2,1,2,2,1,2,2,3,4,2,4,3,4,3,3,4,5,5,1,3,3,2,2,5,3,4,2,4,2,3,4,3,4,4,4,3,3,2,3,4,4,4,2,5,2,4,2,4,3,2,4,3,4,3,3,5,4,3,2,2,3,4,4,4,3,2,2,2,4,4,2,3,1,4,3,3,2,4,4,4,3,3,1,2,4,4,4,1,4,3,3,3,2,3,3,3,4,4,3,3,3,3,3,5,3,3
1194,1,2,1,2,2,2,1,2,2,2,2,3,2,4,2,4,2,4,2,3,4,4,3,2,3,3,2,2,4,3,4,4,4,3,3,4,3,4,4,3,4,2,2,3,2,3,4,2,4,2,4,2,3,4,2,2,3,3,2,2,2,4,2,2,3,3,4,3,3,4,2,2,2,4,3,4,3,2,3,3,4,2,4,2,2,4,2,2,2,2,2,3,2,4,3,3,3,2,4,2,2,3,3,3,4,4,2,2,4,3,4
1069,1,2,1,1,2,2,1,2,2,1,2,2,2,4,4,4,1,4,2,3,4,3,5,4,3,3,3,3,4,3,4,4,4,2,3,3,2,4,5,3,5,4,2,3,4,2,4,3,4,2,4,2,5,2,4,2,2,4,3,4,5,4,2,4,3,4,4,4,4,4,3,3,2,2,2,2,3,2,2,4,4,1,4,2,5,3,5,3,2,4,3,3,1,5,4,2,2,1,4,2,2,2,5,4,5,4,2,3,3,4,4
1031,2,1,1,2,2,1,1,1,2,1,2,1,2,3,3,4,2,4,1,2,4,5,4,5,3,2,3,2,5,2,5,3,3,2,4,3,4,5,5,2,3,4,2,2,4,4,4,2,4,3,5,2,5,4,3,1,5,3,5,4,3,5,3,2,2,3,4,5,3,3,3,3,3,4,2,4,4,3,2,3,4,1,4,3,5,3,3,1,1,4,3,4,1,1,4,3,2,3,4,3,5,4,4,4,5,4,2,4,5,4,4
1120,1,2,1,1,2,1,2,2,2,1,2,2,2,4,4,3,1,3,1,4,4,4,4,4,3,4,2,2,5,3,4,4,5,2,2,4,2,4,5,2,4,2,2,2,4,2,5,1,2,5,2,4,4,4,3,2,1,2,2,2,3,4,2,2,3,2,4,4,4,5,1,4,2,5,3,2,2,1,3,4,5,2,4,2,5,5,3,1,1,4,2,2,2,4,4,4,5,1,4,4,1,4,5,2,4,4,2,2,4,3,4
1040,1,1,2,2,2,1,1,1,2,1,1,2,3,4,2,3,4,5,1,2,4,2,4,4,2,2,2,4,4,4,1,4,4,5,2,4,2,4,4,4,4,2,3,2,2,3,4,3,4,4,2,4,4,4,4,5,2,2,2,5,5,2,4,2,2,4,4,4,4,3,2,4,4,4,2,3,2,1,4,4,4,4,5,3,4,4,4,1,2,4,2,2,4,2,4,4,1,2,4,2,2,2,2,5,4,2,2,4,4,4,2
1049,1,2,1,2,1,2,1,1,2,1,1,3,2,3,5,3,4,3,4,3,5,4,5,4,2,4,4,4,3,4,4,4,4,3,1,2,1,5,4,3,5,4,3,4,1,4,3,3,1,3,5,3,4,5,4,5,4,4,3,5,4,5,3,1,5,5,3,4,4,2,4,3,2,4,1,3,3,3,5,5,4,3,4,2,5,3,4,2,2,4,5,4,2,2,5,3,3,3,4,3,4,4,4,5,5,3,4,3,4,3,4
1157,2,2,1,1,2,1,1,1,2,2,1,3,3,4,2,3,3,4,4,3,4,3,4,3,4,3,4,2,4,3,4,2,4,4,4,2,2,4,4,4,4,3,2,3,4,2,4,2,4,3,4,3,4,3,4,2,4,4,2,4,2,4,4,4,3,4,3,3,4,2,4,3,3,2,3,4,4,2,4,3,4,2,4,3,4,4,4,2,2,4,4,4,2,4,4,3,2,2,4,3,3,4,4,4,4,4,3,3,4,4,4
1005,2,1,2,1,1,2,2,1,1,1,1,4,4,5,3,3,2,5,1,4,4,4,2,4,4,2,4,2,4,3,3,5,4,2,3,2,2,4,5,4,2,1,2,3,5,2,5,1,3,1,4,3,2,4,2,2,3,4,1,4,2,4,2,3,3,4,3,4,4,3,5,2,3,3,2,2,4,2,3,2,3,2,3,3,4,4,2,1,2,4,2,3,3,4,4,3,3,2,4,3,4,3,3,5,3,4,3,4,4,4,4
1198,1,2,1,2,2,2,1,2,2,2,2,2,2,3,3,4,2,3,3,3,4,4,3,5,3,1,2,3,3,3,5,3,4,4,3,4,4,3,4,2,4,4,2,4,3,4,2,2,4,3,5,2,4,3,4,2,3,3,2,3,2,5,2,3,2,2,2,3,4,3,2,4,2,4,2,3,4,3,2,4,3,4,4,2,4,4,3,2,2,2,2,4,2,2,4,2,2,2,2,3,2,3,4,5,4,3,3,3,4,3,4
1140,2,2,2,2,1,2,1,1,1,1,1,4,1,4,5,4,1,4,1,2,5,5,4,5,1,4,5,4,4,3,3,4,5,4,4,5,4,5,2,2,4,4,2,4,5,1,4,4,2,5,5,2,5,3,5,3,4,4,1,4,2,5,2,5,3,4,2,5,5,3,4,4,1,4,3,3,5,1,1,5,3,2,5,3,5,5,4,1,3,4,5,5,1,5,4,1,3,4,5,2,4,2,4,5,3,3,5,4,4,2,3
1004,2,2,1,1,2,2,1,2,2,2,2,1,1,5,5,4,1,3,1,3,4,1,5,1,3,1,4,3,5,2,5,2,5,1,4,5,1,5,4,4,4,2,2,2,4,5,4,1,5,4,5,1,5,4,4,1,2,4,2,2,1,2,1,1,2,1,5,5,3,5,1,2,1,3,2,3,2,1,2,5,4,2,5,4,3,3,4,2,1,4,4,3,1,3,4,2,1,1,4,1,5,2,4,1,5,2,1,4,1,3,5
1008,1,2,1,1,2,2,1,2,2,2,2,4,2,4,5,3,1,4,2,4,5,5,5,4,1,4,3,2,4,4,4,4,4,3,1,4,2,4,2,2,4,2,2,3,1,4,4,1,5,4,3,4,5,3,5,2,2,4,2,2,2,5,2,2,2,3,4,4,4,4,3,3,2,3,4,3,2,2,4,4,2,2,4,2,5,5,4,1,1,4,2,3,1,5,5,2,2,1,4,3,4,4,4,4,5,4,2,2,4,2,3
1152,1,2,1,2,2,2,1,2,2,2,2,3,2,4,3,2,2,3,5,3,5,4,2,4,4,2,3,2,4,4,4,4,3,4,4,2,2,4,3,2,5,2,3,3,3,5,4,2,4,4,5,3,4,2,3,1,3,4,3,3,4,4,3,3,3,2,4,4,5,3,3,2,2,3,2,4,2,3,2,4,5,3,3,3,4,3,3,2,2,3,1,5,2,4,4,3,2,2,4,4,1,2,3,4,4,5,2,3,5,2,4
1023,2,2,1,2,2,2,1,2,2,2,1,1,2,4,2,4,4,4,2,3,5,5,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,4,5,2,4,4,2,4,2,4,2,3,5,4,5,2,4,4,2,2,5,3,2,4,4,5,2,2,2,4,2,4,4,4,2,4,2,4,2,4,5,4,2,4,2,2,4,1,4,4,4,4,1,2,1,4,2,5,2,2,3,4,4,4,1,4,4,4,4,2,4,4,4,4,4
1118,2,2,1,2,2,2,1,1,2,2,2,4,1,4,3,4,2,5,4,4,1,4,3,1,2,2,3,4,4,4,1,4,4,2,2,4,1,5,5,3,3,2,2,4,4,2,4,2,5,2,4,2,4,5,2,3,2,4,2,3,5,5,1,2,3,4,2,5,5,4,2,2,1,3,2,2,1,1,2,2,2,2,4,2,5,3,2,2,1,4,4,4,1,3,4,2,2,2,4,3,4,4,4,4,5,4,2,4,5,3,2
1034,2,2,1,1,2,2,1,2,2,2,1,2,3,3,2,2,2,4,2,2,3,3,3,3,3,3,4,2,3,2,4,4,3,3,3,2,2,4,3,4,3,3,3,3,4,3,4,2,4,2,3,3,3,3,2,1,2,4,3,4,4,3,3,3,4,3,4,4,3,2,4,3,3,3,4,1,2,1,3,3,2,4,3,3,2,3,4,1,3,4,3,4,3,4,3,4,2,2,4,2,2,3,4,4,2,4,2,2,4,4,3
1058,2,1,1,2,2,1,1,2,2,2,1,1,2,4,2,3,2,5,2,3,4,4,4,2,3,2,2,2,3,2,5,4,5,4,4,5,2,5,4,3,4,4,2,4,4,4,4,1,4,2,5,2,5,4,3,3,4,4,1,4,4,4,2,2,2,4,4,4,4,3,1,4,2,4,4,2,4,1,2,3,4,4,4,1,4,4,2,1,2,2,2,2,2,4,5,3,4,2,2,2,2,2,5,4,4,2,1,2,3,4,2
1178,2,1,1,2,1,2,2,1,1,1,1,5,3,3,5,2,3,4,4,3,4,5,2,4,4,4,3,3,3,2,3,4,3,3,3,3,3,3,5,5,3,4,3,4,3,3,5,4,2,4,5,3,3,5,4,3,4,3,4,4,3,5,4,4,4,5,4,5,5,4,3,3,2,5,4,3,3,3,5,2,5,2,5,4,4,4,4,3,3,3,4,4,5,3,2,4,4,2,4,5,3,3,3,4,4,5,3,4,2,5,3
1163,2,1,1,1,1,2,1,2,1,2,1,3,3,4,4,3,3,4,3,4,5,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,5,4,4,5,4,3,4,5,4,4,4,4,4,5,3,5,4,4,3,3,3,4,4,2,5,2,3,2,4,3,4,5,4,4,4,2,2,3,1,3,2,4,4,4,2,5,3,4,2,4,4,3,4,2,4,2,4,5,5,3,3,5,4,2,4,4,5,5,2,4,5,4,3,5
1188,2,2,1,2,2,2,1,2,2,2,2,4,2,4,4,5,1,5,3,5,5,1,4,2,4,2,4,2,4,5,5,5,4,2,3,5,2,2,4,2,4,2,3,2,3,5,4,2,4,4,5,4,5,5,3,1,1,4,4,1,4,3,2,2,4,1,5,5,2,5,2,1,2,4,2,4,2,1,4,5,5,5,4,4,4,4,4,1,2,1,2,1,1,3,4,1,2,4,4,4,1,2,4,2,5,4,1,3,3,1,4
1150,1,1,1,1,2,2,1,2,2,2,2,2,3,4,4,3,2,4,2,4,4,4,4,4,4,4,2,3,4,4,4,4,2,4,3,3,4,4,4,2,3,4,3,4,4,3,4,2,4,3,3,2,4,2,2,4,4,4,2,2,4,4,3,3,3,4,2,3,4,3,3,4,2,3,2,3,4,2,2,3,3,2,4,2,3,4,2,2,2,4,3,2,2,3,3,3,3,2,3,3,2,4,4,3,3,3,3,3,4,2,4
1177,1,2,1,1,2,2,1,2,2,2,1,4,2,5,5,5,1,5,4,3,5,2,4,3,2,1,5,5,3,5,4,5,5,1,4,5,1,5,2,1,5,1,2,2,5,5,5,3,2,5,5,4,5,5,5,2,3,3,5,3,2,2,3,2,2,2,5,2,4,5,4,2,2,4,2,3,3,3,5,5,4,5,5,5,5,5,5,4,5,5,1,1,2,4,5,2,2,5,3,4,2,2,5,4,5,5,1,2,2,3,5
1030,1,2,1,1,2,2,1,2,2,1,1,4,4,4,4,2,2,4,2,3,4,4,4,3,3,3,4,4,3,2,3,3,3,4,3,3,4,4,4,3,4,2,2,4,4,4,3,4,3,2,3,2,3,2,3,3,3,3,3,3,3,2,2,3,2,3,2,2,3,4,4,4,3,4,3,3,2,2,2,3,3,4,4,2,3,2,4,2,4,3,2,4,3,4,4,3,3,4,4,2,2,2,3,2,4,2,4,3,3,2,2
1122,2,2,2,1,2,1,2,1,1,1,1,4,3,4,3,4,2,3,2,4,4,4,4,2,4,2,2,3,4,3,3,3,4,2,2,4,3,4,5,2,5,3,2,3,3,3,4,1,4,3,4,2,4,3,1,2,3,4,2,2,2,5,3,2,2,3,3,2,5,5,4,2,2,3,2,3,4,2,1,4,4,2,3,2,4,4,2,1,2,3,5,4,2,3,5,4,4,3,4,4,5,5,4,2,4,4,2,3,5,3,4
1164,1,2,1,2,2,2,1,2,1,1,2,4,4,3,1,3,3,4,2,4,5,4,4,4,4,3,2,1,4,3,5,3,4,4,4,4,2,4,4,4,2,4,2,2,4,3,2,1,2,2,3,1,4,4,2,2,4,4,4,3,3,5,2,4,3,2,3,5,4,4,4,3,2,2,4,4,4,1,1,1,4,2,3,2,3,3,2,1,2,4,5,4,3,4,3,4,2,1,3,3,5,4,4,5,3,3,2,2,4,4,3
1097,2,1,2,2,2,2,1,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1186,2,1,1,1,2,1,1,1,1,2,1,3,4,3,4,3,4,4,4,4,3,3,4,3,2,3,3,3,3,2,3,4,3,4,3,4,4,4,3,4,3,3,4,3,3,3,3,4,3,2,4,2,4,4,3,3,2,4,3,4,3,4,2,3,4,4,4,2,3,3,2,4,3,3,4,3,4,3,4,4,3,2,4,4,4,2,4,4,4,4,3,3,4,4,3,4,3,3,3,3,3,3,3,4,3,3,4,4,3,3,4
1039,2,1,2,1,1,2,1,2,1,1,1,2,1,4,4,4,1,5,1,4,4,4,5,4,1,2,5,3,3,4,4,3,4,3,3,4,1,5,4,2,4,1,2,2,2,5,4,1,5,4,1,2,5,3,4,1,1,3,2,1,3,5,1,2,5,1,5,2,2,4,4,2,1,3,4,3,5,1,3,3,3,5,5,2,4,4,5,1,5,2,4,2,2,2,5,3,3,2,3,4,2,1,5,5,5,5,1,4,3,2,4
1002,2,2,1,2,1,2,1,2,2,2,2,5,4,4,1,3,1,3,4,4,5,5,1,5,4,4,4,1,4,1,4,1,2,4,5,3,2,5,4,4,4,1,2,4,5,4,5,1,5,2,4,5,1,4,3,2,1,4,1,3,4,4,3,2,2,4,4,5,3,4,2,4,4,4,2,4,1,2,2,3,3,1,1,1,5,2,3,1,1,4,1,3,5,4,2,2,1,1,4,4,1,4,4,4,4,3,2,4,4,5,2
1029,1,1,1,1,1,2,2,2,2,1,1,4,4,4,4,4,3,4,5,4,4,5,4,4,4,4,3,4,5,4,4,4,4,4,4,2,4,5,4,3,3,4,4,5,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,5,5,3,4,3,5,4,5,4,4,4,4,2,4,2,3,3,3,4,4,4,2,4,3,4,4,2,4,2,4,4,4,1,4,4,4,4,4,3,4,4,4,4,5,5,4,5,4,5,4,4
1095,2,2,1,1,2,1,1,2,2,2,2,1,2,3,4,3,4,4,4,4,5,5,3,5,2,4,2,4,4,4,4,2,4,4,2,4,4,2,3,4,4,5,2,5,2,4,3,3,2,1,5,2,4,2,5,3,4,3,1,3,4,4,2,3,1,4,1,3,3,2,1,5,3,1,1,5,4,3,3,3,4,2,5,2,4,3,2,3,3,2,2,5,2,5,5,3,5,3,4,5,1,4,4,5,4,2,4,4,3,2,4
1001,1,2,2,2,2,2,1,1,1,2,2,4,2,4,4,4,2,4,3,5,3,4,4,2,4,2,4,4,4,5,2,4,4,2,2,4,2,3,4,2,4,2,4,2,2,3,4,2,4,2,4,2,4,5,4,3,3,2,4,2,4,4,4,4,3,4,4,2,4,4,2,2,2,5,2,3,2,2,3,4,2,5,4,4,1,4,4,3,2,1,4,4,4,3,5,3,2,4,4,4,4,2,4,3,5,2,2,4,4,2,3
1067,2,2,1,2,2,2,1,2,1,2,1,2,3,4,5,5,4,4,3,4,5,4,5,3,2,3,2,2,5,4,5,2,5,3,4,3,4,5,4,2,4,4,2,4,3,4,2,4,5,5,5,2,5,5,5,2,3,4,2,2,1,4,2,2,2,2,2,3,5,4,1,3,1,5,2,3,4,3,2,5,5,2,4,2,4,4,2,4,1,2,2,4,1,3,2,2,4,4,5,5,1,2,4,5,4,4,4,4,5,2,4
1125,2,1,1,1,1,2,2,2,2,1,2,1,2,4,4,3,4,4,2,4,5,2,5,2,2,2,2,2,4,5,4,2,5,4,2,4,2,5,4,2,5,2,2,4,2,4,4,1,4,4,4,1,4,4,5,2,5,2,2,2,4,5,2,4,2,1,2,3,5,5,2,4,2,5,2,4,5,1,2,4,5,2,4,2,4,4,2,2,1,4,2,4,1,4,5,4,4,3,4,4,2,2,4,4,5,4,4,4,5,1,5
1053,2,1,1,2,2,1,1,1,2,1,1,2,1,4,5,5,4,5,1,5,5,1,5,1,5,2,2,2,5,5,1,5,5,1,1,4,1,5,5,2,5,2,1,1,4,4,4,1,5,5,2,2,5,5,5,2,3,5,5,1,2,2,1,1,1,2,2,3,3,4,1,2,5,5,1,1,2,4,1,5,1,4,5,5,5,5,4,1,1,4,2,2,2,4,5,2,2,2,5,5,2,1,5,1,5,5,4,5,4,2,5
1021,2,2,1,2,2,2,1,2,2,2,2,2,2,3,2,3,3,3,4,3,4,4,4,3,4,3,3,2,4,4,4,4,4,2,3,3,3,4,3,4,3,2,2,3,4,3,4,2,4,3,3,4,4,4,2,2,2,4,2,3,3,4,2,3,3,2,4,4,4,4,2,3,2,3,2,4,3,2,2,3,4,2,4,2,4,4,4,2,4,3,2,4,2,4,4,3,2,3,3,2,2,3,4,3,4,3,3,4,4,2,4
1072,2,2,1,1,2,1,1,1,1,1,1,2,2,4,4,4,2,3,4,3,2,4,5,2,4,2,4,3,4,4,4,3,4,3,4,5,2,4,4,2,3,2,2,4,4,4,5,2,3,2,5,2,4,4,4,2,2,4,3,4,2,4,4,2,3,4,4,4,3,4,4,4,2,4,2,2,3,2,5,4,2,3,4,3,4,4,4,2,2,2,4,4,2,2,4,4,2,4,3,3,4,4,5,2,4,5,2,3,3,4,4
1006,2,2,1,1,2,2,1,1,2,2,1,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
1101,1,1,1,2,2,1,2,1,2,2,2,3,1,3,5,3,3,3,3,4,4,4,5,3,2,3,3,1,4,5,3,3,5,2,2,5,5,5,3,5,4,3,1,3,2,4,5,1,4,5,4,2,5,4,5,4,3,4,2,4,4,5,1,3,3,3,4,4,5,4,3,3,1,4,2,3,4,1,3,4,3,2,4,3,5,3,4,4,3,4,4,2,1,3,5,4,3,2,5,5,4,4,5,4,5,4,4,3,4,2,5
1137,1,2,1,2,1,2,1,1,2,1,2,4,2,5,4,5,2,4,2,4,4,2,4,4,2,2,2,3,4,4,3,4,4,4,2,5,2,4,4,2,4,2,2,2,4,4,5,1,4,4,4,2,4,4,4,2,2,2,2,2,4,2,2,2,1,2,4,4,4,4,4,2,2,4,2,4,2,1,4,4,4,2,4,3,4,4,4,1,2,2,2,2,2,2,4,2,2,4,4,2,4,2,4,2,4,4,2,4,4,4,4
1035,2,1,1,1,2,1,1,1,2,2,1,4,1,4,3,3,4,4,1,5,5,5,5,5,5,3,2,3,3,5,5,4,5,4,5,2,4,5,5,2,5,5,1,5,4,5,3,1,2,5,5,2,5,5,4,2,5,5,1,1,1,5,3,4,2,1,4,4,5,5,3,3,1,2,1,4,5,1,3,3,5,2,5,1,5,4,1,1,5,5,4,2,1,5,4,5,5,1,4,5,4,1,5,2,4,3,5,1,4,2,5
1138,1,2,1,2,2,2,1,2,2,2,2,4,3,4,4,4,2,4,2,3,4,2,4,2,3,2,4,2,4,4,3,4,4,2,3,4,2,2,5,3,4,2,3,3,3,4,4,2,5,3,4,4,5,4,4,3,2,5,2,3,2,2,1,2,3,2,4,4,4,4,2,2,2,4,2,4,2,1,2,4,3,3,4,3,4,4,4,2,2,3,3,2,2,3,4,2,2,2,4,4,3,2,4,2,4,4,2,2,4,3,4
1105,1,1,1,1,2,2,1,2,2,2,1,4,3,2,3,4,2,5,2,2,3,3,4,2,2,4,3,3,4,3,4,4,4,2,3,3,2,3,2,4,4,2,2,2,2,3,3,2,2,2,4,4,4,2,4,3,3,1,2,2,4,3,3,4,2,4,4,4,4,3,2,2,2,4,3,3,2,1,2,2,4,4,3,3,4,2,4,2,2,2,2,2,2,4,3,3,2,1,3,2,2,2,4,2,3,3,2,2,4,4,4
1070,1,2,1,2,2,1,2,1,1,1,1,2,4,4,4,4,2,4,2,3,3,2,4,2,3,2,4,1,4,4,4,4,4,2,2,4,2,5,4,3,4,2,2,2,4,3,4,1,4,3,2,3,5,4,4,2,2,4,2,2,4,4,2,2,2,4,4,4,5,4,4,4,2,4,5,2,3,1,2,4,4,2,4,2,5,4,2,2,1,2,4,4,2,2,4,2,2,2,2,4,4,2,5,2,5,4,2,4,4,3,3
1189,1,1,1,1,2,1,2,2,2,1,2,2,2,4,2,3,3,4,2,2,5,4,4,4,4,3,2,4,4,3,4,2,4,3,3,3,3,5,4,4,2,3,1,2,4,3,4,2,5,1,4,1,1,4,2,3,3,4,2,4,4,4,2,2,4,1,4,4,2,2,1,2,2,4,3,4,3,2,4,2,3,1,2,2,4,4,4,1,2,5,2,4,2,4,4,3,4,3,4,3,1,2,4,4,4,4,4,3,4,4,2
